BookID,Title,Author,Downloads
10070,Stories of Great Americans for Little Americans,"Eggleston, Edward",120
10071,By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth)",17
10072,"English Housewifery
Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery","Moxon, Elizabeth",73
10073,The Century Vocabulary Builder,"Bachelor, Joseph M. (Joseph Morris)",52
10074,"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 269, August 18, 1827",Various,8
10075,"A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself","Smith, Venture",14
10076,Lister's Great Adventure,"Bindloss, Harold",6
10077,"The Atlantic Monthly, Volume 10, No. 60, October, 1862
A Magazine of Literature, Art, and Politics",Various,3
10078,Plain Words from America: A Letter to a German Professor (1917),"Johnson, Douglas Wilson",13
10079,"The Atlantic Monthly, Volume 02, No. 09, July, 1858
A Magazine of Literature, Art, and Politics",Various,6
1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,94
10080,Mobilizing Woman-Power,"Blatch, Harriot Stanton",15
10081,"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",33
10082,The Hampstead Mystery,"Rees, Arthur J. (Arthur John)",41
10083,The House of the Whispering Pines,"Green, Anna Katharine",38
10084,Kazan,"Curwood, James Oliver",33
10085,"Moorish Literature
Comprising Romantic Ballads, Tales of the Berbers, Stories of the Kabyles, Folk-Lore, and National Traditions","Basset, René",39
10086,The Minute Boys of the Mohawk Valley,"Otis, James",18
10087,Old Lady Number 31,"Forsslund, Louise",3
10088,"Thaumaturgia
Or, Elucidations of the Marvellous",Oxonian,27
10089,Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",12
1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,89
10090,Peaceless Europe,"Nitti, Francesco Saverio",9
10091,"Punchinello, Volume 2, No. 31, October 29, 1870",Various,8
10092,"Punchinello, Volume 2, No. 30, October 22, 1870",Various,3
10093,"Gutta-Percha Willie
The Working Genius","MacDonald, George",10
10094,A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,"Stevenson, Burton Egbert",6
10095,"The Twilight of the Gods, and Other Tales","Garnett, Richard",66
10096,The Trojan women of Euripides,"Murray, Gilbert",94
10097,The Healing of Nations and the Hidden Sources of Their Strife,"Carpenter, Edward",7
10098,"How Jerusalem Was Won
Being the Record of Allenby's Campaign in Palestine","Massey, W. T. (William Thomas)",39
10099,Towards the Goal,"Ward, Humphry, Mrs.",13
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",201
1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,28
10100,Byron,"Nichol, John",3
10101,A Little Boy Lost,"Hudson, W. H. (William Henry)",11
10102,The Czar's Spy: The Mystery of a Silent Love,"Le Queux, William",35
10103,"The Great Events by Famous Historians, Volume 08
The Later Renaissance: from Gutenberg to the Reformation","Horne, Charles F. (Charles Francis)",15
10104,"Punchinello, Volume 2, No. 32,  November 5, 1870",Various,5
10105,"Punchinello, Volume 2, No. 33, November 12, 1870",Various,7
10106,"Punchinello, Volume 2, No. 34, November 19, 1870",Various,6
10107,With British Guns in Italy: A Tribute to Italian Achievement,"Dalton, Hugh Dalton, Baron",18
10108,"A Treatise of Daunses, Wherin It is Shewed, That They Are as It Were Accessories and Dependants (Or Thynges Annexed) to Whoredome
Where Also by the Way is Touched and Proued, That Playes Are Ioyned and Knit Togeather in a Rancke or Rowe with Them (1581)",Anonymous,19
10109,The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",17
1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,40
10110,The Postmaster's Daughter,"Tracy, Louis",65
10111,Boys and Girls from Thackeray,"Sweetser, Kate Dickinson",10
10112,American Political Ideas Viewed from the Standpoint of Universal History,"Fiske, John",14
10113,"De mannen van '80 aan het woord
Een onderzoek vaar eenige beginselen van de ""Nieuwe-Gids""-school.","D'Oliveira, E. (Elias)",8
10114,"The Great Events by Famous Historians, Volume 02
(From the Rise of Greece to the Christian Era)","Rudd, John, LL. D.",31
10115,"Two Centuries of Costume in America, Volume 1 (1620-1820)","Earle, Alice Morse",76
10116,All Saints' Day and Other Sermons,"Kingsley, Charles",14
10117,Den siste atenaren,"Rydberg, Viktor",14
10118,The Folk-lore of Plants,"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)",29
10119,Adonais,"Rossetti, William Michael",82
1012,La Divina Commedia di Dante,Dante Alighieri,240
10120,England of My Heart : Spring,"Hutton, Edward",9
10121,"The Literature of Arabia
With Critical and Biographical Sketches by Epiphanius Wilson","Wilson, Epiphanius",12
10122,Fairies and Fusiliers,"Graves, Robert",105
10123,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",441
10124,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",31
10125,The Best Letters of Charles Lamb,"Lamb, Charles",25
10126,Home-Life of the Lancashire Factory Folk during the Cotton Famine,"Waugh, Edwin",21
10127,Abducted to Oz,"Dulabone, Chris",24
10128,"The Great Events by Famous Historians, Volume 17","Rudd, John, LL. D.",13
10129,Excellent Women,Various,25
1013,The First Men in the Moon,"Wells, H. G. (Herbert George)",288
10130,"The Works of Charles and Mary Lamb — Volume 3
Books for Children","Lamb, Mary",52
10131,"Required Poems for Reading and Memorizing
Third and Fourth Grades, Prescribed by State Courses of Study",Anonymous,53
10132,The Sowers,"Merriman, Henry Seton",11
10133,"The Vigil of Venus and Other Poems by ""Q""","Quiller-Couch, Arthur",15
10134,"John Wesley, Jr.
The Story of an Experiment","Brummitt, Dan B. (Dan Brearley)",9
10135,"The Great English Short-Story Writers, Volume 1","Defoe, Daniel",508
10136,The Book of Household Management,"Beeton, Mrs. (Isabella Mary)",419
10137,"Mary Had a Little Lamb
Recording taken from Movietone Production news film","Edison, Thomas A. (Thomas Alva)",15
10138,"The Atlantic Monthly, Volume 01, No. 02, December, 1857
A Magazine of Literature, Art, and Politics",Various,10
10139,The Faith of the Millions (2nd series),"Tyrrell, George",3
1014,The Lure of the Dim Trails,"Bower, B. M.",41
10140,"Rhetoric and Poetry in the Renaissance
A Study of Rhetorical Terms in English Renaissance Literary Criticism","Clark, Donald Lemen",40
10141,"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck
Delivered before the New-York Historical Society, May 17th, 1870","Bryant, William Cullen",5
10142,"Maezli
A Story of the Swiss Valleys","Spyri, Johanna",27
10143,"Punch, or the London Charivari, Volume 153, July 11, 1917",Various,10
10144,"Punchinello, Volume 2, No. 35, November 26, 1870",Various,8
10145,Turkey: a Past and a Future,"Toynbee, Arnold",38
10146,"Reminiscences of Pioneer Days in St. Paul
A Collection of Articles Written for and Published in the Daily Pioneer Press","Moore, Frank",3
10147,America's War for Humanity,"Russell, Thomas Herbert",10
10148,The Merry Adventures of Robin Hood,"Pyle, Howard",321
10149,"Home as Found
Sequel to ""Homeward Bound""","Cooper, James Fenimore",22
1015,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis",142
10150,Dracula's Guest,"Stoker, Bram",379
10151,"The Great Events by Famous Historians, Volume 05
(From Charlemagne to Frederick Barbarossa)","Austin, Walter F. (Walter Forward)",26
10152,Voice Trial - Kinetophone actor audition,"Lett, Bob",2
10153,Voice Trial - Kinetophone Actor Audition,"Lenord, Frank",4
10154,Voice Trial - Kinetophone Actor Audition,"Schultz, Siegfried Von",3
10155,The Right of the People to Rule,"Roosevelt, Theodore",6
10156,M'appari - Martha,"Bonci, Alessandro",12
10157,"Which Switch is the Switch, Miss, for Ipswich?
From Rosy Rapture","Murray, Billy",5
10158,Daybreak at Calamity Farm,"Girard, Gilbert",3
10159,England and the War,"Raleigh, Walter Alexander, Sir",11
1016,On the Improvement of the Understanding,"Elwes, R. H. M. (Robert Harvey Monro)",152
10160,Pierre Nozière,"France, Anatole",14
10161,English Poets of the Eighteenth Century,"Bernbaum, Ernest",8
10162,"Dio's Rome, Volume 3
An Historical Narrative Originally Composed in Greek During The Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus",Cassius Dio Cocceianus,52
10163,"Mohammedanism
Lectures on Its Origin, Its Religious and Political Growth, and Its Present State","Hurgronje, C. Snouck (Christiaan Snouck)",48
10164,"The Black Creek Stopping-House, and Other Stories","McClung, Nellie L.",8
10165,"Across the Zodiac
The Story of a Wrecked Record","Greg, Percy",41
10166,"What Germany Thinks
Or, The War as Germans see it","Smith, Thomas F. A.",27
10167,Mr. Thomas Cat,Edison Concert Band,1
10168,Kaiser Frederick March,"Friedemann, Carl",12
